flow,velo,dia,t,material,Safety_Status
1929.399146,3.687,0.45,0.01427,19.3,LOW
2400.541361,3.693,0.5,0.01509,22.5,LOW
2400.541361,3.693,0.5,0.01509,19.3,LOW
1532.571088,3.709,0.4,0.0127,22.5,LOW
1532.571088,3.709,0.4,0.0127,19.3,LOW
2411.689835,3.71,0.5,0.01509,22.5,LOW
2412.286329,3.71,0.5,0.01509,22.5,LOW
2411.689835,3.71,0.5,0.01509,19.3,LOW
2412.286329,3.71,0.5,0.01509,19.3,LOW
1533.860776,3.711,0.4,0.0127,22.5,LOW
1533.860776,3.711,0.4,0.0127,19.3,LOW
1535.885635,3.716,0.4,0.0127,22.5,LOW
1535.885635,3.716,0.4,0.0127,19.3,LOW
1947.96109,3.723,0.45,0.01427,22.5,LOW
1947.96109,3.723,0.45,0.01427,19.3,LOW
2422.242589,3.725,0.5,0.01509,22.5,LOW
2422.242589,3.725,0.5,0.01509,19.3,LOW
1949.609367,3.727,0.45,0.01427,22.5,LOW
1949.609367,3.727,0.45,0.01427,19.3,LOW
2424.235841,3.728,0.5,0.01509,22.5,LOW
2424.235841,3.728,0.5,0.01509,19.3,LOW
1546.216958,3.74,0.4,0.0127,22.5,LOW
1546.216958,3.74,0.4,0.0127,19.3,LOW
1958.129122,3.742,0.45,0.01427,22.5,LOW
1958.129122,3.742,0.45,0.01427,19.3,LOW
2434.20516,3.744,0.5,0.01509,22.5,LOW
2434.223099,3.744,0.5,0.01509,22.5,LOW
2434.20516,3.744,0.5,0.01509,19.3,LOW
2434.223099,3.744,0.5,0.01509,19.3,LOW
2434.899484,3.745,0.5,0.01509,22.5,LOW
2434.899484,3.745,0.5,0.01509,19.3,LOW
1960.038498,3.746,0.45,0.01427,22.5,LOW
1960.038498,3.746,0.45,0.01427,19.3,LOW
2435.815566,3.747,0.5,0.01509,22.5,LOW
2435.815566,3.747,0.5,0.01509,19.3,LOW
1962.711888,3.752,0.45,0.01427,22.5,LOW
1962.711888,3.752,0.45,0.01427,19.3,LOW
1963.517938,3.754,0.45,0.01427,22.5,LOW
1963.517938,3.754,0.45,0.01427,19.3,LOW
2440.613355,3.755,0.5,0.01509,22.5,LOW
2440.613355,3.755,0.5,0.01509,19.3,LOW
2442.671573,3.758,0.5,0.01509,22.5,LOW
2442.671573,3.758,0.5,0.01509,19.3,LOW
1972.606128,3.771,0.45,0.01427,22.5,LOW
1972.606128,3.771,0.45,0.01427,19.3,LOW
2451.514642,3.772,0.5,0.01509,22.5,LOW
2451.514642,3.772,0.5,0.01509,19.3,LOW
1975.53951,3.777,0.45,0.01427,22.5,LOW
1975.53951,3.777,0.45,0.01427,19.3,LOW
2467.524245,3.796,0.5,0.01509,22.5,LOW
2467.524245,3.796,0.5,0.01509,19.3,LOW
2473.083471,3.804,0.5,0.01509,22.5,LOW
2473.083471,3.804,0.5,0.01509,19.3,LOW
2477.749047,3.812,0.5,0.01509,22.5,LOW
2477.749047,3.812,0.5,0.01509,19.3,LOW
2484.680833,3.822,0.5,0.01509,22.5,LOW
2484.680833,3.822,0.5,0.01509,19.3,LOW
2487.376686,3.825,0.5,0.01509,22.5,LOW
2486.713741,3.825,0.5,0.01509,22.5,LOW
2487.376686,3.825,0.5,0.01509,19.3,LOW
